epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.3883,0.86162,2.55793,1.44288,0.00333,1,0.255,0.17883,0.64891,2.93951,1.32478,0.00012,0.00012,0.00012
2,2.95884,0.54594,2.33557,1.21955,0.00333,1,0.59075,0.42167,0.28316,2.83868,1.03362,0.000256783,0.000256783,0.000256783
3,3.44497,0.49128,2.00578,1.21246,0.00333,1,0.96389,0.84047,0.27009,2.69831,0.91982,0.0003901,0.0003901,0.0003901
4,3.93004,0.33015,1.55409,1.06862,0.00333,1,0.995,0.95443,0.27792,2.53173,0.93572,0.000519953,0.000519953,0.000519953
5,4.42939,0.51716,1.39863,1.14864,0.93414,1,0.995,0.93454,0.4605,2.22212,1.17983,0.00064634,0.00064634,0.00064634
6,4.89559,0.37839,0.9991,1.08202,0.78292,0.85714,0.913,0.87061,0.38088,2.1891,1.09742,0.000769263,0.000769263,0.000769263
7,5.32924,0.39874,1.00491,1.06275,0.78292,0.85714,0.913,0.87061,0.38088,2.1891,1.09742,0.00088872,0.00088872,0.00088872
8,5.81691,0.34818,0.84082,1.03605,0.98368,1,0.995,0.91376,0.45489,1.42251,1.18868,0.00100471,0.00100471,0.00100471
9,6.31902,0.40347,0.88698,1.04367,0.95603,1,0.995,0.84743,0.60657,2.50402,1.3177,0.00111724,0.00111724,0.00111724
10,6.78716,0.39507,0.9744,1.06766,0.95603,1,0.995,0.84743,0.60657,2.50402,1.3177,0.0012263,0.0012263,0.0012263
11,7.25631,0.42937,1.00607,1.08604,0.87359,1,0.9425,0.81262,0.6294,1.73833,1.24024,0.0013319,0.0013319,0.0013319
12,7.71278,0.37398,0.83665,1.04443,0.87359,1,0.9425,0.81262,0.6294,1.73833,1.24024,0.00143403,0.00143403,0.00143403
13,8.17813,0.40221,0.80037,1.04589,0.8574,1,0.9775,0.84037,0.82196,1.87276,1.40241,0.0015327,0.0015327,0.0015327
14,8.63818,0.35293,0.77343,1.03175,0.8574,1,0.9775,0.84037,0.82196,1.87276,1.40241,0.0016279,0.0016279,0.0016279
15,9.09736,0.34684,0.79385,1.02194,0.98357,1,0.995,0.82267,0.71122,1.7812,1.50838,0.0016535,0.0016535,0.0016535
16,9.57183,0.39553,0.83871,1.05335,0.98357,1,0.995,0.82267,0.71122,1.7812,1.50838,0.00162875,0.00162875,0.00162875
17,10.0621,0.41428,0.90202,1.04596,0.9333,1,0.995,0.86935,0.4662,2.42422,1.24027,0.001604,0.001604,0.001604
18,10.5402,0.36723,0.79831,1.03171,0.9333,1,0.995,0.86935,0.4662,2.42422,1.24027,0.00157925,0.00157925,0.00157925
19,10.99,0.37086,0.7537,1.05407,0.9333,1,0.995,0.86935,0.4662,2.42422,1.24027,0.0015545,0.0015545,0.0015545
