epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.0896,1.29081,2.89975,1.71004,0.30362,0.41026,0.25116,0.10199,1.11399,4.10102,1.61133,0.000660194,0.000660194,0.000660194
2,15.6204,1.26233,2.53032,1.66934,0.15234,0.14872,0.06427,0.01982,1.61752,3.74313,1.92964,0.00130059,0.00130059,0.00130059
3,21.9587,1.34136,2.32962,1.72296,0.21594,0.77436,0.22296,0.10223,1.25373,5.29628,1.76483,0.00191458,0.00191458,0.00191458
4,27.8632,1.31027,2.47821,1.66307,0.48176,0.55385,0.50246,0.26692,1.20177,2.59697,1.70232,0.0018812,0.0018812,0.0018812
5,34.0655,1.23981,2.09289,1.632,0.69105,0.70769,0.71541,0.49774,1.019,1.72038,1.5039,0.0018416,0.0018416,0.0018416
6,40.1249,1.2527,2.07189,1.6498,0.25931,0.52308,0.24087,0.14857,1.13835,2.21796,1.53772,0.001802,0.001802,0.001802
7,46.2989,1.24762,1.94454,1.62045,0.62974,0.77436,0.69041,0.50588,1.06732,2.08278,1.53876,0.0017624,0.0017624,0.0017624
8,52.4894,1.05957,2.01692,1.46394,0.59926,0.74387,0.71183,0.46903,1.07091,1.80098,1.56515,0.0017228,0.0017228,0.0017228
9,58.7252,1.11475,1.85458,1.49279,0.66511,0.85128,0.74793,0.53846,0.99357,1.56563,1.44122,0.0016832,0.0016832,0.0016832
10,64.6882,1.08617,1.84367,1.5278,0.59986,0.79955,0.71458,0.52638,0.99592,1.33879,1.42479,0.0016436,0.0016436,0.0016436
11,70.6127,1.14039,1.74529,1.50861,0.66916,0.70256,0.70714,0.468,1.10647,1.69613,1.53862,0.001604,0.001604,0.001604
12,76.5304,1.06266,1.70057,1.47573,0.61935,0.65084,0.6869,0.50568,0.92117,1.57179,1.39262,0.0015644,0.0015644,0.0015644
13,82.5781,1.07009,1.88562,1.4723,0.64663,0.84103,0.75793,0.53325,1.03239,1.31776,1.59049,0.0015248,0.0015248,0.0015248
14,88.2929,1.05269,1.68961,1.43831,0.62984,0.84103,0.75211,0.57246,0.91629,1.57054,1.28689,0.0014852,0.0014852,0.0014852
15,94.5346,0.99445,1.46021,1.42229,0.682,0.68189,0.71581,0.50323,1.03974,1.55728,1.47851,0.0014456,0.0014456,0.0014456
16,100.441,1.0192,1.52304,1.4479,0.6854,0.63684,0.68275,0.54105,0.81611,1.45968,1.27294,0.001406,0.001406,0.001406
17,106.084,0.93387,1.75327,1.36874,0.48519,0.8359,0.66557,0.51018,0.97566,1.66955,1.383,0.0013664,0.0013664,0.0013664
18,112.314,1.02761,1.49717,1.42453,0.68261,0.87179,0.7692,0.61049,0.82069,1.18433,1.22385,0.0013268,0.0013268,0.0013268
19,118.056,0.89624,1.54575,1.34686,0.69024,0.8359,0.76852,0.60982,0.82719,1.25957,1.24836,0.0012872,0.0012872,0.0012872
20,123.899,0.89564,1.63143,1.35174,0.73465,0.82564,0.79177,0.58725,0.94507,1.1145,1.40443,0.0012476,0.0012476,0.0012476
21,129.582,0.99874,1.48911,1.41208,0.69339,0.85641,0.79018,0.63071,0.84718,1.10835,1.22582,0.001208,0.001208,0.001208
22,135.546,0.94482,1.6598,1.35952,0.60664,0.78298,0.72338,0.5751,0.81578,1.24213,1.22043,0.0011684,0.0011684,0.0011684
23,141.479,0.90352,1.46652,1.35386,0.60127,0.82051,0.7321,0.59083,0.80882,1.14455,1.19671,0.0011288,0.0011288,0.0011288
24,147.684,0.86184,1.28536,1.34755,0.72798,0.8,0.78419,0.63742,0.80248,0.97495,1.22464,0.0010892,0.0010892,0.0010892
25,153.421,0.84588,1.38324,1.31045,0.72382,0.84674,0.78849,0.60316,0.81413,1.09888,1.25049,0.0010496,0.0010496,0.0010496
26,159.548,0.89895,1.46472,1.32914,0.70587,0.87382,0.78319,0.65346,0.74125,1.122,1.17756,0.00101,0.00101,0.00101
27,165.545,0.9344,1.43986,1.34974,0.62989,0.85641,0.74563,0.59262,0.81816,1.12567,1.25079,0.0009704,0.0009704,0.0009704
28,171.598,0.88668,1.40075,1.33013,0.64095,0.88718,0.79508,0.63331,0.8166,1.24277,1.22001,0.0009308,0.0009308,0.0009308
29,177.494,0.83749,1.64747,1.3094,0.73598,0.82915,0.79654,0.65341,0.74291,1.1278,1.14105,0.0008912,0.0008912,0.0008912
30,183.506,0.8869,1.3278,1.30303,0.72467,0.87179,0.80528,0.64057,0.75798,0.99959,1.13759,0.0008516,0.0008516,0.0008516
31,189.483,0.84921,1.38758,1.3285,0.71102,0.83077,0.77549,0.64323,0.67019,1.22927,1.10591,0.000812,0.000812,0.000812
32,195.535,0.86297,1.253,1.33207,0.76316,0.87179,0.82914,0.70347,0.64447,0.94097,1.05882,0.0007724,0.0007724,0.0007724
33,201.701,0.8311,1.25006,1.30777,0.74739,0.83077,0.80318,0.65192,0.75257,0.95082,1.15351,0.0007328,0.0007328,0.0007328
34,207.88,0.83135,1.64634,1.27201,0.67336,0.93032,0.80587,0.65975,0.69736,0.94139,1.10972,0.0006932,0.0006932,0.0006932
35,214.165,0.83553,1.25367,1.31724,0.76541,0.92821,0.83995,0.69072,0.6896,0.91688,1.14572,0.0006536,0.0006536,0.0006536
36,220.598,0.76283,1.19605,1.26633,0.7489,0.89744,0.8336,0.69206,0.68403,0.91706,1.08727,0.000614,0.000614,0.000614
37,226.711,0.80327,1.23542,1.27277,0.81927,0.76923,0.81334,0.66706,0.72337,0.96425,1.11137,0.0005744,0.0005744,0.0005744
38,232.455,0.78337,1.27415,1.28858,0.78157,0.89913,0.83673,0.6993,0.68627,0.91726,1.09265,0.0005348,0.0005348,0.0005348
39,238.873,0.7849,1.38436,1.26459,0.76634,0.8914,0.84477,0.7134,0.67119,0.93043,1.08638,0.0004952,0.0004952,0.0004952
40,245.269,0.76577,1.12087,1.28291,0.75827,0.91282,0.83597,0.70218,0.64838,0.86955,1.0508,0.0004556,0.0004556,0.0004556
41,251.764,0.56102,2.11217,1.12531,0.75296,0.84615,0.80417,0.66655,0.67079,1.04367,1.07158,0.000416,0.000416,0.000416
42,257.608,0.53342,1.39793,1.142,0.79107,0.84103,0.84091,0.71424,0.60225,1.01515,1.01787,0.0003764,0.0003764,0.0003764
43,263.858,0.52901,1.27191,1.10799,0.78167,0.93635,0.85301,0.72528,0.57489,0.86527,0.9982,0.0003368,0.0003368,0.0003368
44,270.126,0.49485,1.35043,1.0735,0.7782,0.91282,0.83809,0.71556,0.5654,0.83798,0.98739,0.0002972,0.0002972,0.0002972
45,275.785,0.4442,1.12667,1.05075,0.78304,0.92541,0.80218,0.69024,0.5371,0.83517,0.9724,0.0002576,0.0002576,0.0002576
46,281.418,0.43627,1.09077,1.08434,0.79493,0.91441,0.8198,0.69287,0.58132,0.80054,0.97925,0.000218,0.000218,0.000218
47,287.164,0.42846,1.23594,1.00576,0.78973,0.92452,0.82653,0.69386,0.55879,0.83487,0.96313,0.0001784,0.0001784,0.0001784
48,292.803,0.46749,1.13802,1.09776,0.78515,0.91831,0.82701,0.71743,0.52784,0.82215,0.95093,0.0001388,0.0001388,0.0001388
49,298.63,0.48771,1.10024,1.11971,0.77615,0.92308,0.82789,0.72759,0.50614,0.84395,0.94444,9.92e-05,9.92e-05,9.92e-05
50,304.976,0.40339,1.1052,1.00713,0.81029,0.93333,0.83709,0.73506,0.4972,0.76594,0.94587,5.96e-05,5.96e-05,5.96e-05
