epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.17855,0.54567,0.96985,1.01028,0.99009,1,0.995,0.90777,0.38083,0.82294,1.05905,0.0002,0.0002,0.0002
2,2.81264,0.62678,1.21106,1.05799,0.98902,1,0.995,0.90369,0.53799,0.78674,1.16354,0.000414803,0.000414803,0.000414803
3,3.42943,0.52681,0.79018,0.99451,0.98922,1,0.995,0.85803,0.58249,0.85686,1.23185,0.00062416,0.00062416,0.00062416
4,4.03502,0.62531,0.97784,0.99747,0.98938,1,0.995,0.87042,0.53597,0.69039,1.13407,0.000828073,0.000828073,0.000828073
5,4.65423,0.55862,0.78809,0.96971,0.9893,1,0.995,0.85802,0.59272,0.68304,1.21288,0.00102654,0.00102654,0.00102654
6,5.23371,0.6005,0.91562,1.00078,0.98939,1,0.995,0.8955,0.53409,0.73612,1.21959,0.00121956,0.00121956,0.00121956
7,5.80558,0.58585,0.9058,1.01494,0.98995,1,0.995,0.87052,0.59302,0.84103,1.27819,0.00140714,0.00140714,0.00140714
8,6.3736,0.59514,0.84045,0.97999,0.99403,1,0.995,0.86418,0.63417,0.9318,1.2105,0.00158927,0.00158927,0.00158927
9,6.90809,0.6524,0.87299,0.98438,0.99403,1,0.995,0.86418,0.63417,0.9318,1.2105,0.00176596,0.00176596,0.00176596
10,7.47339,0.64949,0.86936,1.01721,0.99679,1,0.995,0.8955,0.65624,0.90287,1.1461,0.00177725,0.00177725,0.00177725
11,8.05251,0.57296,0.82405,1.03021,0.98562,1,0.995,0.8955,0.55883,0.71755,1.05758,0.0017525,0.0017525,0.0017525
12,8.63995,0.61733,0.7981,0.98234,0.98562,1,0.995,0.8955,0.55883,0.71755,1.05758,0.00172775,0.00172775,0.00172775
