epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.30217,1.24851,2.63002,1.7011,0.32987,0.51269,0.31344,0.16953,1.21592,4.04022,1.65117,0.000660256,0.000660256,0.000660256
2,16.281,1.22876,2.81006,1.60568,0.21034,0.22843,0.16004,0.08053,1.71851,3.45318,2.02043,0.00130065,0.00130065,0.00130065
3,22.5207,1.22552,2.44154,1.58202,0.41734,0.61421,0.4759,0.28421,1.20192,4.45646,1.79993,0.00191464,0.00191464,0.00191464
4,28.6962,1.35296,2.33038,1.66026,0.51876,0.63452,0.5293,0.26834,1.24414,2.9609,1.66204,0.0018812,0.0018812,0.0018812
5,34.392,1.26842,2.32366,1.62763,0.58004,0.60914,0.60869,0.41905,1.06865,2.187,1.60613,0.0018416,0.0018416,0.0018416
6,41.213,1.20717,2.06729,1.55259,0.62072,0.6599,0.64899,0.42026,1.11944,2.03205,1.63207,0.001802,0.001802,0.001802
7,47.1996,1.18237,1.91334,1.55216,0.61329,0.72589,0.62623,0.42828,1.16994,2.10366,1.6785,0.0017624,0.0017624,0.0017624
8,53.185,1.2248,1.85628,1.56501,0.54311,0.73604,0.60021,0.42675,1.12656,2.42088,1.57721,0.0017228,0.0017228,0.0017228
9,58.9664,1.1321,1.67956,1.50076,0.50593,0.70051,0.64391,0.50854,0.87605,1.88323,1.29207,0.0016832,0.0016832,0.0016832
10,65.0129,1.0852,1.73532,1.46382,0.57839,0.73096,0.68857,0.53033,0.90109,2.07973,1.29405,0.0016436,0.0016436,0.0016436
11,71.2247,1.05043,1.67992,1.43482,0.74725,0.58376,0.69604,0.53542,0.9204,1.77306,1.45136,0.001604,0.001604,0.001604
12,77.2853,1.07915,1.625,1.48632,0.65789,0.66497,0.66133,0.47124,1.10961,1.9693,1.50663,0.0015644,0.0015644,0.0015644
13,83.1808,1.00634,1.56696,1.43234,0.65709,0.6809,0.69352,0.52766,0.81515,1.52042,1.23632,0.0015248,0.0015248,0.0015248
14,89.1756,1.06609,1.66916,1.44144,0.61147,0.79889,0.72434,0.52532,0.93922,1.62224,1.45479,0.0014852,0.0014852,0.0014852
15,95.7703,1.02652,1.66659,1.42407,0.64171,0.79097,0.7283,0.54792,0.9143,1.58464,1.34452,0.0014456,0.0014456,0.0014456
16,102.342,1.034,1.57499,1.4348,0.62739,0.68528,0.70592,0.56659,0.93137,1.65044,1.28871,0.001406,0.001406,0.001406
17,108.627,0.93115,1.53397,1.36863,0.61643,0.80711,0.73154,0.56839,0.87305,1.59724,1.27139,0.0013664,0.0013664,0.0013664
18,114.623,0.95812,1.45532,1.39241,0.61485,0.84276,0.73217,0.59765,0.76917,1.71681,1.19383,0.0013268,0.0013268,0.0013268
19,120.739,0.93464,1.47656,1.40192,0.59607,0.81726,0.74257,0.58309,0.85238,1.35452,1.29335,0.0012872,0.0012872,0.0012872
