epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.4064,0.6891,2.42516,1.30835,0.00333,1,0.73681,0.49641,0.31933,2.77258,0.99922,0.00026,0.00026,0.00026
2,3.27091,0.44458,1.62842,1.1521,0.00333,1,0.63444,0.55927,0.41171,2.57974,1.08598,0.000533318,0.000533318,0.000533318
3,4.26741,0.41764,1.05435,1.07388,0.90593,0.64706,0.91398,0.84302,0.47254,2.34908,1.14937,0.000799705,0.000799705,0.000799705
4,5.11584,0.38113,0.87943,1.0589,0.99956,1,0.995,0.91114,0.38189,1.38235,1.05208,0.00105916,0.00105916,0.00105916
5,5.99143,0.39617,0.88829,1.05717,0.99434,1,0.995,0.87986,0.48289,1.90885,1.25751,0.00131169,0.00131169,0.00131169
6,6.78771,0.42666,0.88756,1.0834,0.9941,1,0.995,0.79469,0.75497,1.45572,1.44949,0.00155729,0.00155729,0.00155729
7,7.54909,0.38208,0.7983,1.02844,0.99981,0.94118,0.9875,0.82689,0.60225,1.58661,1.26621,0.00179596,0.00179596,0.00179596
8,8.31547,0.42122,0.81517,1.04326,0.97823,0.94118,0.99222,0.93895,0.36134,1.15905,1.01234,0.00182675,0.00182675,0.00182675
9,9.07645,0.4,0.79256,1.03819,0.98298,1,0.995,0.92548,0.41018,1.99579,1.07526,0.001802,0.001802,0.001802
10,9.82375,0.37588,0.78604,1.03999,0.9748,1,0.995,0.93138,0.44393,0.94901,1.13992,0.00177725,0.00177725,0.00177725
11,10.5568,0.3621,0.76318,1.04476,0.92274,1,0.99222,0.74169,0.57473,1.22725,1.09485,0.0017525,0.0017525,0.0017525
12,11.2982,0.36954,0.82389,1.05021,0.99589,1,0.995,0.91411,0.38854,1.07815,0.99887,0.00172775,0.00172775,0.00172775
13,12.0314,0.35376,0.71127,1.01969,0.97089,1,0.995,0.9193,0.30604,0.98648,0.89276,0.001703,0.001703,0.001703
14,12.7613,0.35928,0.69458,1.01227,0.97089,1,0.995,0.9193,0.30604,0.98648,0.89276,0.00167825,0.00167825,0.00167825
15,13.5161,0.35163,0.73066,1.03779,0.99543,1,0.995,0.93343,0.34583,0.57695,0.95366,0.0016535,0.0016535,0.0016535
16,14.2947,0.32939,0.69497,0.99718,0.99668,1,0.995,0.96716,0.32288,0.54325,0.95406,0.00162875,0.00162875,0.00162875
17,15.0797,0.36413,0.70157,1.03275,0.99648,1,0.995,0.95412,0.30285,0.61936,0.92975,0.001604,0.001604,0.001604
18,15.8134,0.35098,0.69312,1.04253,0.9965,1,0.995,0.95316,0.28417,0.57201,0.88709,0.00157925,0.00157925,0.00157925
19,16.5633,0.34297,0.67165,1.01873,0.99682,1,0.995,0.9699,0.309,0.59728,0.91125,0.0015545,0.0015545,0.0015545
20,17.3935,0.36557,0.66345,1.04852,0.9969,1,0.995,0.94809,0.34068,0.5885,0.95229,0.00152975,0.00152975,0.00152975
21,18.2912,0.29778,0.65693,1.00229,0.99672,1,0.995,0.9153,0.35845,0.59714,0.98878,0.001505,0.001505,0.001505
22,19.0859,0.31454,0.63729,0.98128,0.99672,1,0.995,0.9153,0.35845,0.59714,0.98878,0.00148025,0.00148025,0.00148025
23,19.8913,0.31641,0.66431,0.99865,0.99632,1,0.995,0.9101,0.37069,0.61943,1.00243,0.0014555,0.0014555,0.0014555
24,20.6745,0.32474,0.6252,0.99373,0.9959,1,0.995,0.90969,0.41058,0.60432,1.0467,0.00143075,0.00143075,0.00143075
25,21.4792,0.31552,0.65343,1.00684,0.99627,1,0.995,0.91998,0.37056,0.53606,0.99293,0.001406,0.001406,0.001406
26,22.2795,0.32324,0.62583,0.98653,0.99631,1,0.995,0.95432,0.35505,0.54341,0.98388,0.00138125,0.00138125,0.00138125
27,23.0873,0.29744,0.57735,0.98627,0.99639,1,0.995,0.95756,0.31661,0.6107,0.94821,0.0013565,0.0013565,0.0013565
28,23.9021,0.31737,0.60921,0.99253,0.99407,1,0.995,0.95816,0.30028,0.62133,0.92566,0.00133175,0.00133175,0.00133175
29,24.6669,0.31139,0.60331,0.99831,0.99671,1,0.995,0.94748,0.28523,0.53716,0.90568,0.001307,0.001307,0.001307
30,25.4222,0.28728,0.55384,0.96724,0.99671,1,0.995,0.94748,0.28523,0.53716,0.90568,0.00128225,0.00128225,0.00128225
31,26.2285,0.3294,0.59798,0.98586,0.99639,1,0.995,0.91592,0.32745,0.51234,0.95452,0.0012575,0.0012575,0.0012575
32,27.0466,0.31398,0.58298,0.96189,0.99637,1,0.995,0.96765,0.28982,0.48231,0.89822,0.00123275,0.00123275,0.00123275
33,27.8433,0.26272,0.56704,0.97189,0.99694,1,0.995,0.99001,0.26347,0.46284,0.85079,0.001208,0.001208,0.001208
34,28.6767,0.28194,0.53763,0.96706,0.99696,1,0.995,0.97802,0.26401,0.45557,0.84479,0.00118325,0.00118325,0.00118325
35,29.5303,0.28528,0.55163,0.97171,0.99696,1,0.995,0.97153,0.2777,0.46835,0.875,0.0011585,0.0011585,0.0011585
36,30.3457,0.28818,0.54195,0.9474,0.99694,1,0.995,0.96054,0.28066,0.4747,0.88953,0.00113375,0.00113375,0.00113375
37,31.1441,0.28191,0.49867,0.97252,0.99699,1,0.995,0.95649,0.29253,0.48691,0.91538,0.001109,0.001109,0.001109
38,31.9809,0.28027,0.535,0.9818,0.99699,1,0.995,0.95649,0.29253,0.48691,0.91538,0.00108425,0.00108425,0.00108425
39,32.783,0.25842,0.50573,0.95862,0.99692,1,0.995,0.94757,0.30114,0.4623,0.91618,0.0010595,0.0010595,0.0010595
40,33.6273,0.24833,0.59006,0.99433,0.99684,1,0.995,0.954,0.30396,0.52081,0.91251,0.00103475,0.00103475,0.00103475
41,34.3668,0.27143,0.52793,1.01358,0.99686,1,0.995,0.96038,0.29467,0.51281,0.87767,0.00101,0.00101,0.00101
42,35.1318,0.27245,0.55008,0.96765,0.99692,1,0.995,0.96722,0.28014,0.48103,0.85816,0.00098525,0.00098525,0.00098525
43,35.929,0.29112,0.53094,1.00107,0.99693,1,0.995,0.9886,0.27672,0.48307,0.84985,0.0009605,0.0009605,0.0009605
44,36.7343,0.26685,0.51091,0.98415,0.99692,1,0.995,0.96512,0.29135,0.49564,0.86557,0.00093575,0.00093575,0.00093575
45,37.5125,0.24153,0.49418,0.94902,0.99702,1,0.995,0.96589,0.30338,0.47864,0.88792,0.000911,0.000911,0.000911
46,38.3225,0.24827,0.4614,0.94153,0.99702,1,0.995,0.96589,0.30338,0.47864,0.88792,0.00088625,0.00088625,0.00088625
47,39.1073,0.26311,0.52137,0.96771,0.99707,1,0.995,0.95371,0.30078,0.47341,0.88199,0.0008615,0.0008615,0.0008615
48,39.8467,0.23779,0.47117,0.93798,0.99709,1,0.995,0.95237,0.2995,0.48114,0.88265,0.00083675,0.00083675,0.00083675
