epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.74155,0.72515,2.40655,1.3543,0.00333,1,0.87733,0.76315,0.38648,2.80182,1.1199,0.0003,0.0003,0.0003
2,3.63167,0.45381,1.47962,1.14777,0.00333,1,0.74254,0.51268,0.74362,2.73792,1.42534,0.000612328,0.000612328,0.000612328
3,4.45198,0.40702,1.03381,1.05705,0.88106,0.74121,0.93047,0.83532,0.53158,2.20221,1.25786,0.000916735,0.000916735,0.000916735
4,5.48628,0.4331,0.93412,1.08015,0.92452,0.95,0.98848,0.77235,0.69449,3.55908,1.56402,0.00121322,0.00121322,0.00121322
5,6.35118,0.43718,0.86819,1.07811,0.89853,0.9,0.97044,0.69797,0.88154,2.44898,1.51636,0.00150179,0.00150179,0.00150179
6,7.19182,0.41393,0.9024,1.08067,0.73841,0.98829,0.85717,0.62134,1.00854,2.13659,1.59289,0.00178244,0.00178244,0.00178244
7,8.01448,0.45084,0.88615,1.07128,0.98472,1,0.995,0.81734,0.75608,2.3372,1.65989,0.0018515,0.0018515,0.0018515
8,8.8478,0.42392,0.8592,1.06427,0.9833,0.95,0.99262,0.86138,0.59868,1.62064,1.39819,0.00182675,0.00182675,0.00182675
9,9.69556,0.4154,0.84813,1.06479,1,0.996,0.995,0.89167,0.5504,1.15981,1.30772,0.001802,0.001802,0.001802
10,10.5465,0.37986,0.83958,1.06794,0.86701,1,0.98196,0.91171,0.4168,0.96167,1.18281,0.00177725,0.00177725,0.00177725
11,11.4219,0.36073,0.76679,1.06804,0.89755,1,0.99024,0.92572,0.46057,0.99052,1.16666,0.0017525,0.0017525,0.0017525
12,12.2881,0.36207,0.70412,1.02022,0.94619,1,0.995,0.93057,0.43701,0.90372,1.12137,0.00172775,0.00172775,0.00172775
13,13.1365,0.36449,0.73247,1.04488,0.9854,1,0.995,0.93281,0.41194,0.77853,1.09803,0.001703,0.001703,0.001703
14,14.0239,0.37131,0.71957,1.04549,0.99595,1,0.995,0.9325,0.32841,0.59836,0.98337,0.00167825,0.00167825,0.00167825
15,14.8718,0.33545,0.65222,0.99706,0.99736,1,0.995,0.94491,0.36315,0.62769,0.99065,0.0016535,0.0016535,0.0016535
16,16.4611,0.3513,0.67579,1.01387,0.99738,1,0.995,0.949,0.35329,0.56886,0.98438,0.00162875,0.00162875,0.00162875
17,17.3009,0.35923,0.74331,1.04922,0.99742,1,0.995,0.97242,0.28006,0.51301,0.93743,0.001604,0.001604,0.001604
18,18.1645,0.319,0.62752,1.01477,0.99747,1,0.995,0.98313,0.27823,0.52514,0.91486,0.00157925,0.00157925,0.00157925
19,19.0209,0.33591,0.66827,1.0045,0.99732,1,0.995,0.97195,0.2942,0.56538,0.9214,0.0015545,0.0015545,0.0015545
20,19.8969,0.30435,0.58916,1.00819,0.99744,1,0.995,0.95041,0.34858,0.59727,1.02408,0.00152975,0.00152975,0.00152975
21,20.7687,0.31825,0.62809,0.98163,0.99741,1,0.995,0.91988,0.42026,0.68225,1.11535,0.001505,0.001505,0.001505
22,21.7502,0.31881,0.62223,0.99365,0.99714,1,0.995,0.92068,0.43451,0.66755,1.11732,0.00148025,0.00148025,0.00148025
23,22.5893,0.31745,0.61035,0.99433,0.99681,1,0.995,0.92275,0.37853,0.60309,1.05965,0.0014555,0.0014555,0.0014555
24,23.4515,0.32016,0.59752,1.00498,0.9971,1,0.995,0.93765,0.37263,0.57064,1.06157,0.00143075,0.00143075,0.00143075
25,24.322,0.32407,0.60969,0.98838,0.99718,1,0.995,0.91802,0.44972,0.60525,1.15848,0.001406,0.001406,0.001406
26,25.1977,0.33885,0.62128,0.99533,0.99636,1,0.995,0.89966,0.51516,0.63728,1.25174,0.00138125,0.00138125,0.00138125
27,26.0404,0.30439,0.57675,0.97885,0.995,1,0.995,0.9256,0.39361,0.56978,1.09749,0.0013565,0.0013565,0.0013565
28,26.9053,0.30871,0.60623,0.99806,0.99507,1,0.995,0.96087,0.33553,0.5633,1.00712,0.00133175,0.00133175,0.00133175
29,27.7755,0.28488,0.58355,0.99343,0.99539,1,0.995,0.96318,0.3258,0.60251,0.98201,0.001307,0.001307,0.001307
30,28.6355,0.28796,0.52911,0.96511,0.99665,1,0.995,0.97344,0.32241,0.52796,0.97049,0.00128225,0.00128225,0.00128225
31,29.4965,0.28459,0.51818,0.98075,0.99698,1,0.995,0.97392,0.3166,0.51866,0.96589,0.0012575,0.0012575,0.0012575
32,30.3234,0.27928,0.51718,0.97013,0.99709,1,0.995,0.9792,0.32821,0.51604,0.96116,0.00123275,0.00123275,0.00123275
33,31.182,0.27753,0.49018,0.97362,0.99726,1,0.995,0.93678,0.35494,0.52406,0.99027,0.001208,0.001208,0.001208
