epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.23025,0.57889,0.97237,1.03276,0.98832,1,0.995,0.93671,0.47439,0.62949,1.10686,0.00014,0.00014,0.00014
2,2.75807,0.55,0.86323,1.01954,0.98963,1,0.995,0.83722,0.74777,0.64307,1.33229,0.000296288,0.000296288,0.000296288
3,3.18998,0.60302,0.89891,1.0711,0.98898,1,0.995,0.82054,0.66365,0.65658,1.2475,0.000448615,0.000448615,0.000448615
4,3.6179,0.51426,0.74445,0.98549,0.98866,1,0.995,0.82906,0.65042,0.67425,1.2156,0.000596983,0.000596983,0.000596983
5,4.07363,0.56947,0.68118,0.93515,0.98802,1,0.995,0.90779,0.59444,0.67952,1.17814,0.00074139,0.00074139,0.00074139
6,4.53155,0.66109,0.75272,1.01991,0.98681,1,0.995,0.90779,0.54994,0.65233,1.14539,0.000881838,0.000881838,0.000881838
7,4.96181,0.62893,0.75218,0.99547,0.98182,1,0.995,0.93255,0.49393,0.62144,1.11453,0.00101833,0.00101833,0.00101833
8,5.40011,0.75771,1.25047,1.07585,0.97396,1,0.995,0.8955,0.63904,0.66984,1.16192,0.00115085,0.00115085,0.00115085
9,5.82934,0.61214,0.80961,0.97938,0.97113,1,0.995,0.8955,0.61024,0.70192,1.16561,0.00127942,0.00127942,0.00127942
10,6.29796,0.63234,0.81441,1.01258,0.97113,1,0.995,0.8955,0.61024,0.70192,1.16561,0.00140403,0.00140403,0.00140403
11,6.72959,0.60945,0.99337,0.99245,0.97675,1,0.995,0.87055,0.49199,0.78241,1.17932,0.00152467,0.00152467,0.00152467
12,7.15634,0.59964,0.85804,1.01322,0.97675,1,0.995,0.87055,0.49199,0.78241,1.17932,0.00164136,0.00164136,0.00164136
13,7.58465,0.55782,0.76195,0.94771,0.98496,1,0.995,0.87876,0.6049,0.67511,1.20249,0.001703,0.001703,0.001703
14,8.01426,0.62794,0.96156,1.00295,0.98496,1,0.995,0.87876,0.6049,0.67511,1.20249,0.00167825,0.00167825,0.00167825
15,8.44007,0.6413,0.88757,1.08045,0.98751,1,0.995,0.79677,0.55213,0.78184,1.10481,0.0016535,0.0016535,0.0016535
16,8.86864,0.68752,0.81446,0.99495,0.98751,1,0.995,0.79677,0.55213,0.78184,1.10481,0.00162875,0.00162875,0.00162875
