epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.54445,1.12045,2.75484,1.67114,0.00333,1,0.08687,0.03189,0.80386,2.99655,1.45693,0.00016,0.00016,0.00016
2,3.19437,0.6307,2.26348,1.26551,0.00333,1,0.72227,0.54605,0.416,2.84043,1.13825,0.000335793,0.000335793,0.000335793
3,3.99647,0.44625,1.67773,1.17241,0.00333,1,0.50769,0.35781,0.79953,2.81083,1.50679,0.00050713,0.00050713,0.00050713
4,4.54773,0.35381,1.20956,1.07105,0.03321,1,0.75061,0.56629,0.70495,2.62203,1.26444,0.000674013,0.000674013,0.000674013
5,5.11245,0.38836,0.9472,1.04222,0.00618,1,0.63096,0.49236,0.88038,2.7478,1.35975,0.00083644,0.00083644,0.00083644
6,5.67083,0.41624,0.93006,1.08231,1,0.91423,0.995,0.90407,0.47547,1.74697,1.13175,0.000994413,0.000994413,0.000994413
7,6.26161,0.43749,0.85968,1.0666,0.83992,1,0.995,0.8513,0.3644,4.12089,0.98474,0.00114793,0.00114793,0.00114793
8,6.81792,0.43084,0.98529,1.10851,0.66252,1,0.995,0.8771,0.41205,3.81326,0.99907,0.00129699,0.00129699,0.00129699
9,7.36579,0.39481,0.87759,1.04329,0.66252,1,0.995,0.8771,0.41205,3.81326,0.99907,0.0014416,0.0014416,0.0014416
10,7.93516,0.37264,0.91582,1.0276,0.70073,0.81818,0.82346,0.60764,0.69292,2.03762,1.43248,0.00158175,0.00158175,0.00158175
11,8.47271,0.39392,0.82345,1.07822,0.70073,0.81818,0.82346,0.60764,0.69292,2.03762,1.43248,0.00171745,0.00171745,0.00171745
12,9.01459,0.42894,0.84723,1.04718,0.81227,0.90909,0.92487,0.81415,0.62729,1.88004,1.479,0.00172775,0.00172775,0.00172775
13,9.53717,0.4482,0.91261,1.05542,0.81227,0.90909,0.92487,0.81415,0.62729,1.88004,1.479,0.001703,0.001703,0.001703
14,10.0563,0.40526,0.90227,1.06799,1,0.90909,0.995,0.8967,0.6302,2.70345,1.60884,0.00167825,0.00167825,0.00167825
15,10.6456,0.38746,0.84371,1.05332,1,1,0.995,0.95387,0.35677,1.92023,1.00704,0.0016535,0.0016535,0.0016535
16,11.2136,0.39193,0.8439,1.05652,1,1,0.995,0.95387,0.35677,1.92023,1.00704,0.00162875,0.00162875,0.00162875
17,11.8392,0.34107,0.84084,1.03572,0.98075,1,0.995,0.95061,0.33875,0.78619,0.97838,0.001604,0.001604,0.001604
18,12.4179,0.43722,0.81338,1.1009,0.98075,1,0.995,0.95061,0.33875,0.78619,0.97838,0.00157925,0.00157925,0.00157925
19,12.9853,0.32562,0.75056,1.01763,0.98911,1,0.995,0.96087,0.33935,0.70785,0.98478,0.0015545,0.0015545,0.0015545
20,13.6059,0.34023,0.77205,1.0402,0.98911,1,0.995,0.96087,0.33935,0.70785,0.98478,0.00152975,0.00152975,0.00152975
21,14.3447,0.3739,0.78176,1.07054,0.99499,1,0.995,0.95858,0.37244,0.65355,1.04541,0.001505,0.001505,0.001505
22,14.9208,0.34139,0.78305,1.0183,0.97513,1,0.995,0.93733,0.41391,0.80755,1.06114,0.00148025,0.00148025,0.00148025
23,15.4921,0.3225,0.70044,0.99239,0.97513,1,0.995,0.93733,0.41391,0.80755,1.06114,0.0014555,0.0014555,0.0014555
24,16.0684,0.38289,0.80921,1.08843,0.9827,1,0.995,0.96398,0.44285,0.87482,0.99881,0.00143075,0.00143075,0.00143075
25,16.6461,0.36183,0.76898,1.04194,0.9827,1,0.995,0.96398,0.44285,0.87482,0.99881,0.001406,0.001406,0.001406
26,17.3074,0.30757,0.64061,0.9825,0.99518,1,0.995,0.95409,0.37857,0.64246,1.00052,0.00138125,0.00138125,0.00138125
27,17.8748,0.33326,0.69637,1.02015,0.99518,1,0.995,0.95409,0.37857,0.64246,1.00052,0.0013565,0.0013565,0.0013565
28,18.4392,0.31468,0.66043,1.01102,0.99509,1,0.995,0.96333,0.32888,0.53565,0.98887,0.00133175,0.00133175,0.00133175
