epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.9189,0.75733,2.54015,1.38794,0.00333,1,0.34784,0.20093,0.44331,2.87393,1.12802,0.0002,0.0002,0.0002
2,2.72511,0.4887,1.9887,1.21603,0.00333,1,0.62758,0.54124,0.33012,2.73395,0.95241,0.000414803,0.000414803,0.000414803
3,3.62209,0.39855,1.37257,1.08446,0.00333,1,0.45643,0.25651,0.74787,2.77782,1.25741,0.00062416,0.00062416,0.00062416
4,4.32296,0.38925,0.94417,1.06144,0.64631,0.42857,0.57348,0.48016,0.57354,2.55815,1.19392,0.000828073,0.000828073,0.000828073
5,4.99712,0.36519,0.86462,1.05359,0.93147,0.97208,0.98567,0.89507,0.45407,1.69841,1.00835,0.00102654,0.00102654,0.00102654
6,5.73656,0.38569,0.83589,1.04708,1,0.99571,0.995,0.92318,0.41375,1.60071,1.01046,0.00121956,0.00121956,0.00121956
7,6.45117,0.40883,0.84827,1.07208,0.99684,1,0.995,0.82139,0.66478,1.85481,1.36245,0.00140714,0.00140714,0.00140714
8,7.11126,0.47615,0.89405,1.11905,0.44715,0.78571,0.47207,0.43379,0.49369,2.48876,1.21291,0.00158927,0.00158927,0.00158927
9,7.74459,0.44245,0.97388,1.08876,0.44715,0.78571,0.47207,0.43379,0.49369,2.48876,1.21291,0.00176596,0.00176596,0.00176596
10,8.41924,0.38248,0.8168,1.04559,1,0.78571,0.96875,0.85077,0.38948,2.46361,0.9935,0.00177725,0.00177725,0.00177725
11,9.09175,0.42344,0.84111,1.08036,0.99308,1,0.995,0.95881,0.33036,1.21441,0.93948,0.0017525,0.0017525,0.0017525
12,9.76746,0.45002,0.8224,1.09407,0.99308,1,0.995,0.95881,0.33036,1.21441,0.93948,0.00172775,0.00172775,0.00172775
13,10.4705,0.38765,0.82479,1.03264,1,0.99359,0.995,0.96928,0.33401,0.91971,0.92622,0.001703,0.001703,0.001703
14,11.1283,0.38557,0.83954,1.05671,0.97333,1,0.995,0.98048,0.31986,0.77392,0.91408,0.00167825,0.00167825,0.00167825
15,11.7943,0.34843,0.77193,1.03193,0.97333,1,0.995,0.98048,0.31986,0.77392,0.91408,0.0016535,0.0016535,0.0016535
16,12.5506,0.38184,0.73726,1.07398,0.98456,1,0.995,0.97717,0.28851,0.70836,0.8944,0.00162875,0.00162875,0.00162875
17,13.176,0.33214,0.69971,1.02453,0.99478,1,0.995,0.91101,0.44471,0.8636,1.11499,0.001604,0.001604,0.001604
18,13.8463,0.3616,0.71642,1.04254,0.99541,1,0.995,0.93829,0.37786,0.65694,1.0288,0.00157925,0.00157925,0.00157925
19,14.5198,0.37069,0.70425,1.04302,0.99541,1,0.995,0.93829,0.37786,0.65694,1.0288,0.0015545,0.0015545,0.0015545
20,15.2455,0.37825,0.70421,1.04513,0.99554,1,0.995,0.87487,0.52163,0.72882,1.1475,0.00152975,0.00152975,0.00152975
21,15.8632,0.32511,0.73349,1.01767,0.9964,1,0.995,0.94895,0.39004,0.58136,0.99461,0.001505,0.001505,0.001505
22,16.472,0.31632,0.67045,1.00223,0.9964,1,0.995,0.94895,0.39004,0.58136,0.99461,0.00148025,0.00148025,0.00148025
23,17.1147,0.33116,0.65921,1.00589,0.9963,1,0.995,0.95691,0.32573,0.63275,0.90276,0.0014555,0.0014555,0.0014555
24,17.7141,0.33349,0.68791,1.04039,0.996,1,0.995,0.92454,0.36799,0.68774,0.97908,0.00143075,0.00143075,0.00143075
25,18.3027,0.31668,0.68901,1.02506,0.996,1,0.995,0.92454,0.36799,0.68774,0.97908,0.001406,0.001406,0.001406
26,18.94,0.31642,0.64118,1.02028,0.99434,1,0.995,0.87679,0.54592,0.83828,1.1489,0.00138125,0.00138125,0.00138125
27,19.5485,0.31095,0.65889,1.02148,0.99546,1,0.995,0.91598,0.41432,0.63965,1.01329,0.0013565,0.0013565,0.0013565
28,20.1341,0.32199,0.63488,1.03412,0.99546,1,0.995,0.91598,0.41432,0.63965,1.01329,0.00133175,0.00133175,0.00133175
29,20.7408,0.2968,0.61261,0.98722,0.99633,1,0.995,0.96913,0.27694,0.50045,0.84904,0.001307,0.001307,0.001307
