epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.72673,0.61843,2.34748,1.27165,0.00333,1,0.71643,0.58823,0.39735,2.78857,1.12017,0.0003,0.0003,0.0003
2,3.68411,0.39981,1.40352,1.11894,0.04613,1,0.72221,0.37456,0.98944,2.76495,1.4371,0.000612328,0.000612328,0.000612328
3,4.73076,0.38515,0.89826,1.03138,0.8704,0.70776,0.84321,0.75901,0.50947,2.18052,1.17103,0.000916735,0.000916735,0.000916735
4,5.67355,0.41323,0.92041,1.0486,0.75001,1,0.90177,0.83065,0.50304,1.54348,1.20724,0.00121322,0.00121322,0.00121322
5,6.60873,0.42785,0.84137,1.0792,0.74958,0.94737,0.83853,0.72604,0.49026,1.70025,1.17785,0.00150179,0.00150179,0.00150179
6,7.52984,0.40496,0.83087,1.06344,0.90374,0.9887,0.98497,0.91097,0.42345,1.35347,1.10359,0.00178244,0.00178244,0.00178244
7,8.46182,0.45998,0.92937,1.08065,0.72168,0.9556,0.79856,0.49035,1.31188,2.37728,2.10319,0.0018515,0.0018515,0.0018515
8,9.35535,0.45121,0.94555,1.06561,0.70184,1,0.9925,0.63776,0.62587,3.54182,1.3602,0.00182675,0.00182675,0.00182675
9,10.292,0.44649,0.93376,1.07002,0.88581,0.94737,0.94321,0.74494,0.84427,1.7642,1.88056,0.001802,0.001802,0.001802
10,11.2299,0.40328,0.93082,1.07768,0.97822,1,0.995,0.8812,0.50369,1.09431,1.28389,0.00177725,0.00177725,0.00177725
11,12.1272,0.38766,0.77776,1.05109,0.94881,1,0.995,0.9146,0.48264,1.11923,1.36591,0.0017525,0.0017525,0.0017525
12,13.0565,0.358,0.74521,1.02762,0.9871,1,0.995,0.91477,0.45362,1.19196,1.20836,0.00172775,0.00172775,0.00172775
13,14.6545,0.38731,0.85498,1.08947,0.99318,1,0.995,0.86258,0.66212,0.93134,1.36829,0.001703,0.001703,0.001703
14,15.5137,0.38481,0.7604,1.04717,0.98208,1,0.995,0.92008,0.46433,0.85639,1.15514,0.00167825,0.00167825,0.00167825
15,16.4342,0.34389,0.71078,0.99823,0.99616,1,0.995,0.92594,0.43146,0.64179,1.13731,0.0016535,0.0016535,0.0016535
16,17.3723,0.37023,0.72019,1.04504,0.99568,1,0.995,0.92583,0.4153,0.61218,1.10132,0.00162875,0.00162875,0.00162875
17,18.2822,0.34005,0.72016,1.04272,0.99577,1,0.995,0.94239,0.39132,0.58001,1.06758,0.001604,0.001604,0.001604
18,19.1886,0.3263,0.63843,0.99738,0.99632,1,0.995,0.9377,0.38006,0.5474,1.06076,0.00157925,0.00157925,0.00157925
19,20.0507,0.34936,0.68361,1.00153,0.9967,1,0.995,0.91346,0.44399,0.58908,1.16844,0.0015545,0.0015545,0.0015545
20,20.9029,0.32854,0.62082,0.99064,0.99611,1,0.995,0.91578,0.46385,0.6416,1.09914,0.00152975,0.00152975,0.00152975
21,21.8052,0.33627,0.63941,0.99997,0.99618,1,0.995,0.94196,0.42666,0.65171,1.01045,0.001505,0.001505,0.001505
22,22.7452,0.31835,0.61455,1.01844,0.99503,1,0.995,0.95514,0.39621,0.67469,1.01286,0.00148025,0.00148025,0.00148025
23,23.6251,0.32049,0.60404,0.98606,0.99307,1,0.995,0.94633,0.37196,0.6233,1.04066,0.0014555,0.0014555,0.0014555
24,24.52,0.29829,0.59886,0.99312,0.99541,1,0.995,0.94325,0.35123,0.57905,1.01254,0.00143075,0.00143075,0.00143075
25,25.4136,0.31344,0.60853,1.01316,0.99699,1,0.995,0.93337,0.36911,0.53412,1.07367,0.001406,0.001406,0.001406
26,26.2878,0.32614,0.63187,0.99927,0.99712,1,0.995,0.93056,0.37644,0.56308,1.08339,0.00138125,0.00138125,0.00138125
27,27.1937,0.33647,0.59556,0.99103,0.99712,1,0.995,0.96614,0.33315,0.59448,1.0056,0.0013565,0.0013565,0.0013565
28,28.1277,0.31249,0.58662,0.97128,0.99706,1,0.995,0.95961,0.30291,0.53092,0.94753,0.00133175,0.00133175,0.00133175
29,29.0251,0.27788,0.55959,0.9932,0.99707,1,0.995,0.94247,0.32295,0.5251,0.97004,0.001307,0.001307,0.001307
30,29.922,0.27103,0.53201,0.95108,0.9971,1,0.995,0.951,0.34137,0.52522,1.00259,0.00128225,0.00128225,0.00128225
31,30.7484,0.27732,0.52769,0.96755,0.99715,1,0.995,0.96657,0.33585,0.48203,1.00921,0.0012575,0.0012575,0.0012575
32,31.5746,0.29324,0.55655,0.99153,0.99715,1,0.995,0.94859,0.34807,0.50566,1.02711,0.00123275,0.00123275,0.00123275
