epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.14475,3.35026,5.33048,5.12394,0.97395,1,0.995,0.20232,3.23593,2.42185,6.07119,0.00016,0.00016,0.00016
2,2.70307,2.55886,3.62782,3.04439,0.00333,1,0.11056,0.05528,2.28278,3.66122,3.60709,0.000335793,0.000335793,0.000335793
3,3.32281,2.00174,3.04783,2.31867,0.46739,0.93479,0.4975,0.2985,2.06409,2.11628,2.47113,0.00050713,0.00050713,0.00050713
4,3.80886,1.65049,2.6368,1.88153,0.13684,1,0.33167,0.199,2.14034,2.46371,2.71056,0.000674013,0.000674013,0.000674013
5,4.24577,1.35026,2.13533,1.50685,0.19272,1,0.995,0.4975,2.01496,1.87704,2.16827,0.00083644,0.00083644,0.00083644
6,4.7214,1.17084,1.87632,1.46733,0.44926,1,0.995,0.48921,1.40321,1.63191,1.7112,0.000994413,0.000994413,0.000994413
7,5.18224,1.19459,1.9172,1.45887,0.83592,1,0.995,0.4975,1.27053,1.27622,1.64028,0.00114793,0.00114793,0.00114793
8,5.69591,1.05405,1.43668,1.34199,0.88537,1,0.995,0.4975,1.66308,1.27308,1.78576,0.00129699,0.00129699,0.00129699
9,6.19772,1.11489,1.61841,1.3364,0.88537,1,0.995,0.4975,1.66308,1.27308,1.78576,0.0014416,0.0014416,0.0014416
10,6.7138,1.03982,1.46237,1.28658,0.71442,1,0.995,0.43117,2.22384,1.36921,2.04589,0.00158175,0.00158175,0.00158175
11,7.16203,0.97828,1.36917,1.20913,0.71442,1,0.995,0.43117,2.22384,1.36921,2.04589,0.00171745,0.00171745,0.00171745
12,7.61264,1.022,1.50345,1.27446,0.40495,1,0.995,0.4975,1.08253,1.43408,1.49338,0.00172775,0.00172775,0.00172775
13,8.11515,1.00237,1.44031,1.26335,0.40495,1,0.995,0.4975,1.08253,1.43408,1.49338,0.001703,0.001703,0.001703
14,8.60363,0.93909,1.38342,1.29216,0.83646,1,0.995,0.796,0.69364,1.36652,1.31728,0.00167825,0.00167825,0.00167825
15,9.09258,0.92648,1.3455,1.18076,0.95447,1,0.995,0.796,0.66762,0.99613,1.40465,0.0016535,0.0016535,0.0016535
16,9.61163,0.84544,1.25723,1.14438,0.95447,1,0.995,0.796,0.66762,0.99613,1.40465,0.00162875,0.00162875,0.00162875
17,10.1109,0.86038,1.30702,1.16891,0.95834,1,0.995,0.6965,0.98384,0.76619,1.58682,0.001604,0.001604,0.001604
18,10.5535,0.92059,1.26906,1.27486,0.95834,1,0.995,0.6965,0.98384,0.76619,1.58682,0.00157925,0.00157925,0.00157925
19,11.0088,0.89467,1.11749,1.17335,0.956,1,0.995,0.8955,0.63872,0.85472,1.48769,0.0015545,0.0015545,0.0015545
20,11.484,0.84049,1.41096,1.20881,0.956,1,0.995,0.8955,0.63872,0.85472,1.48769,0.00152975,0.00152975,0.00152975
21,12.0474,0.80193,1.10478,1.14466,0.95851,1,0.995,0.8955,0.66499,0.84086,1.37535,0.001505,0.001505,0.001505
22,12.532,0.75085,1.05764,1.10813,0.96557,1,0.995,0.8955,0.74781,0.8833,1.39581,0.00148025,0.00148025,0.00148025
23,13.0245,0.78021,1.08132,1.09219,0.96557,1,0.995,0.8955,0.74781,0.8833,1.39581,0.0014555,0.0014555,0.0014555
24,13.5088,0.70905,1.8684,0.96804,0.97123,1,0.995,0.796,0.84781,0.69342,1.66116,0.00143075,0.00143075,0.00143075
25,13.9735,0.73302,1.19358,1.20251,0.97123,1,0.995,0.796,0.84781,0.69342,1.66116,0.001406,0.001406,0.001406
26,14.4208,0.73784,0.9943,1.06152,0.97061,1,0.995,0.8955,0.67393,0.80254,1.53594,0.00138125,0.00138125,0.00138125
27,14.9015,0.7208,1.27788,1.05404,0.97061,1,0.995,0.8955,0.67393,0.80254,1.53594,0.0013565,0.0013565,0.0013565
28,15.3857,0.70142,1.07461,1.02387,0.96917,1,0.995,0.796,0.69424,0.79242,1.46424,0.00133175,0.00133175,0.00133175
29,15.8675,0.62523,0.94639,1.03007,0.96917,1,0.995,0.796,0.69424,0.79242,1.46424,0.001307,0.001307,0.001307
30,16.3489,0.74662,0.99595,1.08008,0.97061,1,0.995,0.796,0.94347,0.83634,1.52115,0.00128225,0.00128225,0.00128225
31,16.8194,0.53417,0.93067,1.02134,0.97225,1,0.995,0.796,0.77562,0.83265,1.4015,0.0012575,0.0012575,0.0012575
32,19.282,0.56562,1.54881,0.93886,0.97225,1,0.995,0.796,0.77562,0.83265,1.4015,0.00123275,0.00123275,0.00123275
33,19.7635,0.61322,0.87111,1.01677,0.97328,1,0.995,0.796,0.75028,0.92265,1.33412,0.001208,0.001208,0.001208
34,20.2163,0.57758,0.89846,1.03477,0.97328,1,0.995,0.796,0.75028,0.92265,1.33412,0.00118325,0.00118325,0.00118325
