epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.23045,0.61567,1.04505,1.06275,0.98913,1,0.995,0.92852,0.46856,0.92871,1.08529,0.0002,0.0002,0.0002
2,2.88349,0.60901,0.94312,1.02872,0.99043,1,0.995,0.90369,0.47704,0.95367,1.11375,0.000414803,0.000414803,0.000414803
3,3.47353,0.57399,0.95511,0.97968,0.98916,1,0.995,0.85803,0.59053,0.86056,1.11157,0.00062416,0.00062416,0.00062416
4,4.03539,0.62922,0.94987,1.00955,0.9892,1,0.995,0.96377,0.4316,0.81668,1.13098,0.000828073,0.000828073,0.000828073
5,4.6477,0.54861,0.78053,0.9772,0.98901,1,0.995,0.9367,0.40711,0.65896,1.09305,0.00102654,0.00102654,0.00102654
6,5.23721,0.56133,0.87969,0.98204,0.98761,1,0.995,0.85802,0.52674,0.85843,1.19137,0.00121956,0.00121956,0.00121956
7,5.81929,0.53001,0.79177,0.98098,0.98798,1,0.995,0.86427,0.58836,0.87882,1.22219,0.00140714,0.00140714,0.00140714
8,6.39572,0.54483,0.83013,0.95948,0.98738,1,0.995,0.92002,0.59365,0.94396,1.17836,0.00158927,0.00158927,0.00158927
9,6.95175,0.63622,0.83147,1.01532,0.98738,1,0.995,0.92002,0.59365,0.94396,1.17836,0.00176596,0.00176596,0.00176596
10,7.51229,0.63405,0.82784,1.00765,0.98829,1,0.995,0.84504,0.61115,0.90969,1.11152,0.00177725,0.00177725,0.00177725
11,8.07381,0.70636,0.93014,1.05383,0.98779,1,0.995,0.86428,0.58005,0.83094,1.17742,0.0017525,0.0017525,0.0017525
12,8.62973,0.58922,0.88319,0.95498,0.98779,1,0.995,0.86428,0.58005,0.83094,1.17742,0.00172775,0.00172775,0.00172775
13,9.22865,0.53978,0.82503,0.94042,0.98392,1,0.995,0.8372,0.5942,0.73232,1.32344,0.001703,0.001703,0.001703
14,9.83381,0.64824,0.91631,1.01269,0.98413,1,0.995,0.80792,0.70604,0.74727,1.37595,0.00167825,0.00167825,0.00167825
15,10.3845,0.58439,0.78632,0.99676,0.98413,1,0.995,0.80792,0.70604,0.74727,1.37595,0.0016535,0.0016535,0.0016535
16,10.9416,0.59111,0.83164,1.01434,0.9873,1,0.995,0.86428,0.62847,0.65517,1.223,0.00162875,0.00162875,0.00162875
17,11.4998,0.57451,0.75746,1.0114,0.98838,1,0.995,0.88881,0.46215,0.60691,1.05545,0.001604,0.001604,0.001604
18,12.0785,0.5518,0.72925,0.97705,0.98908,1,0.995,0.90133,0.46701,0.68456,1.10169,0.00157925,0.00157925,0.00157925
19,12.6405,0.55111,0.80104,1.01141,0.98908,1,0.995,0.90133,0.46701,0.68456,1.10169,0.0015545,0.0015545,0.0015545
