epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.02639,3.28573,5.59918,4.65869,0.59492,0.75,0.74845,0.12665,3.46951,3.4947,6.05429,0.00014,0.00014,0.00014
2,2.54684,2.69461,4.63264,3.26754,0.25941,1,0.28429,0.11371,2.53286,4.02894,3.12343,0.000296288,0.000296288,0.000296288
3,3.00253,1.89606,2.87978,2.15155,0.1823,0.75,0.22111,0.10642,2.09087,3.56164,1.98885,0.000448615,0.000448615,0.000448615
4,3.45801,1.75271,2.39758,1.86477,0.45867,0.75,0.62,0.28763,1.82693,4.34864,1.76471,0.000596983,0.000596983,0.000596983
5,3.93982,1.42473,1.98503,1.48521,0.28633,1,0.33167,0.21714,1.5379,3.30084,1.67441,0.00074139,0.00074139,0.00074139
6,4.40989,1.23825,1.92616,1.44608,0.41776,0.5,0.745,0.60661,1.17077,2.99218,1.47953,0.000881838,0.000881838,0.000881838
7,4.91926,1.2304,1.68447,1.35987,0.70805,0.75,0.73111,0.52107,1.27385,1.85896,1.62063,0.00101833,0.00101833,0.00101833
8,5.37647,1.16755,2.09297,1.3606,0.58274,0.75,0.79361,0.53787,0.937,1.53559,1.46288,0.00115085,0.00115085,0.00115085
9,5.87529,1.00289,1.49478,1.22873,0.86941,0.75,0.91167,0.52599,1.38318,1.2197,1.59656,0.00127942,0.00127942,0.00127942
10,6.29923,1.07679,1.39114,1.29277,0.86941,0.75,0.91167,0.52599,1.38318,1.2197,1.59656,0.00140403,0.00140403,0.00140403
11,6.72528,1.02562,1.63362,1.25911,0.6592,1,0.995,0.57341,1.3229,1.52895,1.51444,0.00152467,0.00152467,0.00152467
12,7.13918,0.91509,1.42605,1.2443,0.6592,1,0.995,0.57341,1.3229,1.52895,1.51444,0.00164136,0.00164136,0.00164136
13,7.56285,0.89099,1.35232,1.18644,1,0.95426,0.995,0.76672,0.9563,1.11369,1.37697,0.001703,0.001703,0.001703
14,8.0124,1.05136,1.46418,1.2557,1,0.95426,0.995,0.76672,0.9563,1.11369,1.37697,0.00167825,0.00167825,0.00167825
15,8.48609,1.03419,1.57418,1.3003,1,0.96539,0.995,0.771,0.98935,1.05703,1.56329,0.0016535,0.0016535,0.0016535
16,8.96441,0.88757,1.26563,1.1855,1,0.96539,0.995,0.771,0.98935,1.05703,1.56329,0.00162875,0.00162875,0.00162875
17,9.46153,0.87685,1.30805,1.25588,1,0.99277,0.995,0.7212,0.82657,0.94515,1.4774,0.001604,0.001604,0.001604
18,9.91858,0.83053,1.25126,1.21247,1,0.99277,0.995,0.7212,0.82657,0.94515,1.4774,0.00157925,0.00157925,0.00157925
19,10.3924,0.87539,1.3423,1.18807,0.78907,1,0.945,0.76419,0.78313,0.98904,1.35184,0.0015545,0.0015545,0.0015545
20,10.8219,0.68562,2.16373,1.04058,0.78907,1,0.945,0.76419,0.78313,0.98904,1.35184,0.00152975,0.00152975,0.00152975
