epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.10258,0.92815,2.59434,1.50528,0.00333,1,0.173,0.07467,0.72183,2.97685,1.41593,0.00014,0.00014,0.00014
2,2.73763,0.58685,2.37845,1.21569,0.00333,1,0.76055,0.55423,0.39257,2.8438,1.13305,0.000296288,0.000296288,0.000296288
3,3.51523,0.51333,1.89575,1.22664,0.00333,1,0.8507,0.72687,0.52291,2.64261,1.17019,0.000448615,0.000448615,0.000448615
4,4.13012,0.41527,1.44786,1.1024,0.00713,1,0.68332,0.56715,0.59138,2.57729,1.22538,0.000596983,0.000596983,0.000596983
5,4.6444,0.35245,1.06845,1.0117,0.01144,1,0.54185,0.45572,0.7114,2.6243,1.42339,0.00074139,0.00074139,0.00074139
6,5.21049,0.35333,0.95645,1.03955,0.29851,0.1,0.58763,0.47122,0.79272,2.49504,1.57429,0.000881838,0.000881838,0.000881838
7,5.77919,0.41369,0.94902,1.06999,1,0.98111,0.995,0.91529,0.52533,1.52756,1.20768,0.00101833,0.00101833,0.00101833
8,6.41881,0.42281,0.94685,1.08996,0.99022,1,0.995,0.92904,0.41027,1.61871,1.09824,0.00115085,0.00115085,0.00115085
9,7.01888,0.38481,0.81687,1.0356,0.96003,1,0.995,0.89048,0.6632,1.67083,1.30851,0.00127942,0.00127942,0.00127942
10,7.56426,0.40318,0.80228,1.0265,0.96003,1,0.995,0.89048,0.6632,1.67083,1.30851,0.00140403,0.00140403,0.00140403
11,8.15578,0.43398,0.89078,1.10944,0.99386,1,0.995,0.97503,0.45005,1.12586,1.27657,0.00152467,0.00152467,0.00152467
12,8.74952,0.37398,0.81955,1.04292,0.99386,1,0.995,0.97503,0.45005,1.12586,1.27657,0.00164136,0.00164136,0.00164136
13,9.33898,0.35978,0.80974,1.02552,1,1,0.995,0.85425,0.75384,4.76245,1.82173,0.001703,0.001703,0.001703
14,9.87606,0.41115,0.83375,1.04133,1,1,0.995,0.85425,0.75384,4.76245,1.82173,0.00167825,0.00167825,0.00167825
15,10.4298,0.41633,0.88554,1.06327,0.99388,1,0.995,0.89974,0.61829,1.40251,1.44039,0.0016535,0.0016535,0.0016535
16,10.9989,0.41025,0.83092,1.05078,0.99388,1,0.995,0.89974,0.61829,1.40251,1.44039,0.00162875,0.00162875,0.00162875
17,11.5745,0.35862,0.81742,1.05391,0.99324,1,0.995,0.92815,0.46518,1.0137,1.07482,0.001604,0.001604,0.001604
18,12.1143,0.39178,0.85633,1.02027,0.99324,1,0.995,0.92815,0.46518,1.0137,1.07482,0.00157925,0.00157925,0.00157925
19,12.706,0.34176,0.85683,1.02686,0.99492,1,0.995,0.94247,0.42071,0.87152,1.04191,0.0015545,0.0015545,0.0015545
20,13.2894,0.32615,0.77474,1.00709,0.99492,1,0.995,0.94247,0.42071,0.87152,1.04191,0.00152975,0.00152975,0.00152975
21,14.4169,0.31162,0.70077,1.00888,0.99494,1,0.995,0.89207,0.506,1.59047,1.13195,0.001505,0.001505,0.001505
22,14.9826,0.35785,0.73657,1.05988,0.99494,1,0.995,0.89207,0.506,1.59047,1.13195,0.00148025,0.00148025,0.00148025
23,15.6412,0.31348,0.67164,1.00229,0.99157,1,0.995,0.94818,0.43394,0.7607,1.09552,0.0014555,0.0014555,0.0014555
24,16.1387,0.30437,0.67759,0.97289,0.99157,1,0.995,0.94818,0.43394,0.7607,1.09552,0.00143075,0.00143075,0.00143075
25,16.6738,0.33743,0.77798,1.06116,0.99264,1,0.995,0.95218,0.42599,0.75279,1.06912,0.001406,0.001406,0.001406
26,17.2221,0.31592,0.72682,1.01634,0.99264,1,0.995,0.95218,0.42599,0.75279,1.06912,0.00138125,0.00138125,0.00138125
